,Edeposited,totalInitialE,totalMCPulseCharge,totalDOMHits
bins,100,100,100,100
min,0,0,0,0
max,1000,20000,4000,2500
legend,115.0 GeV -5e-06 eps 250000.0 events 1e2_2e5 ene 50.0 m,115.0 GeV -5e-06 eps 250000.0 events 1e2_2e5 ene 50.0 m,115.0 GeV -5e-06 eps 250000.0 events 1e2_2e5 ene 50.0 m,115.0 GeV -5e-06 eps 250000.0 events 1e2_2e5 ene 50.0 m
color,#444444,#444444,#444444,#444444
weight,,,,
126,388.76755535297895,542.1547631269841,106.63765696305927,87
127,413.5032813203885,362.3624001381752,116.13097087619826,91
128,334.37242892783735,412.8056355304823,114.84975143612974,96
129,118.35647096504064,193.8882600837195,107.23640522139613,75
130,1645.5091342164728,2118.503709470392,123.99911391537171,96
131,207.79859668572948,672.4318303841824,91.58656306605553,98
132,208.49961413811246,439.75293734227216,114.92362447269261,90
133,612.9244135359482,625.658614248385,99.63077164272545,99
134,987.4835892030769,926.9239723591088,159.43219303246588,125
135,0.0,649.5663147682765,115.17684633797035,104
136,756.6611703135763,836.9140764194412,115.02928810805315,96
137,571.2362575562254,541.8407749915048,148.73924714466557,113
138,608.6984417312493,651.8571117360218,132.6885266476893,76
139,295.2397121153265,545.5003443135092,94.5939198739361,93
140,598.3410261511938,622.5325048689849,133.68779442453524,98
141,1234.421475788382,1267.6670139652963,148.05947706133884,103
142,1627.022379570081,1761.2901851637976,98.39266653684899,85
143,1080.3847610372231,902.7184993189392,170.4274580857018,133
144,729.862261424624,810.8394768443295,94.2837748363454,92
145,7477.31292133553,7583.585014648952,174.16821345398785,136
146,691.8546657312662,606.6791781812778,130.7230199544283,109
147,54.533276869819474,1410.2273579105463,120.12904908256314,105
148,2080.274964058146,1518.5104381944739,373.6533478628844,243
149,713.3379969585831,666.694627676143,117.91281250267639,105
150,821.9192049293741,956.5412755305151,135.06791591650108,106
151,858.4769732610318,753.7062238233098,97.4319993997924,90
152,47.84709450962818,225.73367689883855,85.68712885899004,76
153,5182.770316205683,4863.8634158442555,119.99778831738513,101
154,420.22765624461334,492.52495764963965,134.00692599269678,94
155,232.51274580066342,649.8378512194333,143.74296422454063,98
156,1615.4062138497218,1468.4798133715417,136.0322089951078,99
157,940.811110326274,1014.0311368396665,129.90791223981068,118
158,1300.800313742915,1357.1809655146262,133.66936068976065,105
159,246.09374175947232,796.527340518225,286.7676061837992,199
160,649.2255053044032,577.8257013493076,106.89399733272148,108
161,748.4005614818267,804.3831258569401,122.94748584891204,104
162,7.761037168842961,165.7076460045896,79.0652128396323,66
163,904.9788089557859,1058.7923872768306,103.2315221609108,98
164,861.4752083501908,1045.844866428785,140.3794395972509,106
165,736.0647524320874,584.710482422186,112.29369708575541,96
166,345.3464397323904,277.6801197733122,118.60164145281306,103
167,5438.249702912559,4503.831132624342,292.7162272881542,230
168,2404.7321175102693,2707.7165075877,262.5594611411216,167
169,352.7591710132691,379.23366426702796,135.3683208519069,107
170,534.5651525020089,657.2273598476286,87.09583533608384,80
171,365.7061988637213,437.13365964141485,117.90889619066729,92
172,235.7394126589834,616.7523818906368,88.15500497428002,84
173,1610.5777170351198,1705.2547397545854,147.06437148802797,105
174,1549.7309522817263,1632.6366990647075,169.4315603149007,108
175,2.1669564016818867,1151.8221326854878,90.20554355817148,81
176,251.46007160459706,246.3049050420559,77.21978666848736,71
177,273.3312330780095,264.09956246835884,123.4096443739254,93
178,1758.2145255120804,1783.096486295428,777.3856011632306,320
179,703.6106878204627,785.6359400904864,122.50584288779646,123
